timestamp,caller_phone,receiver_phone,duration,cell_tower_id,lat,lng,address
2026-03-02 08:00:00,+919871100223,+919899900112,33,DEL_GK2_TOWER_03,28.5355,77.241,"M-Block Market, GK-II, Delhi"
2026-03-02 08:15:00,+91981216060,+91988039264,179,TOWER_94,28.534731143621965,77.27539740386847,Unknown Location
2026-03-02 08:30:00,+91982760891,+91985401318,217,TOWER_22,28.57987621749833,77.2288813162869,Unknown Location
2026-03-02 08:45:00,+91988674102,+91982664011,64,TOWER_42,28.549401568997013,77.27777228096909,Unknown Location
2026-03-02 09:00:00,+91989779142,+91988155828,276,TOWER_12,28.526375946718407,77.28340952870823,Unknown Location
2026-03-02 09:15:00,+919871100223,+919899900112,290,DEL_GK2_TOWER_03,28.5355,77.241,"M-Block Market, GK-II, Delhi"
2026-03-02 09:30:00,+91981910909,+91989691245,165,TOWER_57,28.529013758928965,77.29709979550142,Unknown Location
2026-03-02 09:45:00,+91981288246,+91989506657,72,TOWER_74,28.518572595281277,77.28037331631681,Unknown Location
2026-03-02 10:00:00,+91982033861,+91988464745,260,TOWER_91,28.54563235816415,77.27742844815168,Unknown Location
2026-03-02 10:15:00,+91984801546,+91988089228,157,TOWER_53,28.53189134048922,77.27586359108882,Unknown Location
2026-03-02 10:30:00,+919871100223,+919899900112,254,DEL_GK2_TOWER_03,28.5355,77.241,"M-Block Market, GK-II, Delhi"
2026-03-02 10:45:00,+91986839057,+91989620052,221,TOWER_70,28.53481880563182,77.29708591638506,Unknown Location
2026-03-02 11:00:00,+91985481657,+91983556624,157,TOWER_85,28.530846143154932,77.22179751855148,Unknown Location
2026-03-02 11:15:00,+91988406080,+91985767909,148,TOWER_26,28.509526166888236,77.21518869403998,Unknown Location
2026-03-02 11:30:00,+91989852999,+91982628512,90,TOWER_57,28.5277548797339,77.24036152396933,Unknown Location
2026-03-02 11:45:00,+919871100223,+919899900112,147,DEL_GK2_TOWER_03,28.5355,77.241,"M-Block Market, GK-II, Delhi"
2026-03-02 12:00:00,+91983956947,+91988746285,250,TOWER_78,28.585950237898096,77.21397855181635,Unknown Location
2026-03-02 12:15:00,+91981219095,+91988292332,289,TOWER_77,28.58431792177396,77.2738892741747,Unknown Location
2026-03-02 12:30:00,+91985574917,+91988594067,94,TOWER_14,28.531093174181173,77.27835742274821,Unknown Location
2026-03-02 12:45:00,+91981749831,+91989207930,117,TOWER_98,28.59137008973637,77.29308587235028,Unknown Location
2026-03-02 13:00:00,+919871100223,+919899900112,134,DEL_GK2_TOWER_03,28.5355,77.241,"M-Block Market, GK-II, Delhi"
2026-03-02 13:15:00,+91989367436,+91985526209,159,TOWER_88,28.5198373722077,77.29208848524097,Unknown Location
2026-03-02 13:30:00,+91982376456,+91983602999,72,TOWER_94,28.51571269756858,77.2977308180025,Unknown Location
2026-03-02 13:45:00,+91988856580,+91987593301,149,TOWER_62,28.598025743369863,77.21288207590733,Unknown Location
2026-03-02 14:00:00,+91987385862,+91983486147,231,TOWER_66,28.550787442363276,77.29427711451088,Unknown Location
2026-03-02 14:15:00,+919871100223,+919899900112,247,DEL_GK2_TOWER_03,28.5355,77.241,"M-Block Market, GK-II, Delhi"
2026-03-02 14:30:00,+91983818494,+91985377284,196,TOWER_85,28.536578513771225,77.20920454625919,Unknown Location
2026-03-02 14:45:00,+91985688104,+91986076485,291,TOWER_10,28.5181229383273,77.23581938631906,Unknown Location
2026-03-02 15:00:00,+91981800536,+91989037375,296,TOWER_71,28.512810940152317,77.26447338927218,Unknown Location
